模型,准确率,Precision_macro,Recall_macro,F1_macro,F1_weighted,AUC_ROC_macro,AUC_ROC_weighted,CV_F1_mean,CV_F1_std,协调能力_precision,协调能力_recall,协调能力_f1,合规能力_precision,合规能力_recall,合规能力_f1,提取能力_precision,提取能力_recall,提取能力_f1
LogisticRegression,0.9583991574512901,0.9197655097262651,0.9477656973227652,0.932654320808452,0.958827413948277,0.9942192206659525,0.9940843927915644,0.869454532958936,0.04106080044368531,0.9829674489023467,0.9697535474234503,0.9763157894736842,0.8434343434343434,0.9515669515669516,0.8942436412315931,0.9328947368421052,0.9219765929778934,0.9274035317200785
LinearSVC,0.968667719852554,0.9462950179629256,0.9496246212950544,0.9477977882299374,0.9686849625617615,0.9930604516388836,0.9928121074830879,0.8796374245413855,0.04009996203474484,0.9806403574087863,0.9835698282300224,0.9821029082774049,0.8983516483516484,0.9316239316239316,0.9146853146853147,0.9598930481283422,0.9336801040312094,0.946605141727093
RandomForest,0.965771458662454,0.9477039378915469,0.9347506037739645,0.9408752945131312,0.965538774553033,0.9948515994302743,0.9949756633430076,0.8719798613513824,0.04496360378334471,0.972834067547724,0.9895444361463779,0.9811181044057756,0.8980169971671388,0.9031339031339032,0.9005681818181818,0.9722607489597781,0.9115734720416124,0.9409395973154362
GradientBoosting,0.9634017904160084,0.9519295810593164,0.9218704002666699,0.9362586767637824,0.9629076397296992,0.9877089618030723,0.9874444927341844,0.878059480674543,0.04386213098995037,0.9679066374908826,0.9910380881254668,0.9793357933579335,0.9235474006116208,0.8603988603988604,0.8908554572271387,0.9643347050754458,0.9141742522756827,0.9385847797062751
MultinomialNB,0.9491837809373355,0.9068505076791076,0.930111587713399,0.9169953816905992,0.949666486248672,0.9880362994393715,0.9865939423983658,0.8162531330367827,0.0666054329765848,0.9733183013904547,0.9671396564600448,0.9702191421614534,0.8084577114427861,0.9259259259259259,0.8632138114209827,0.9387755102040817,0.8972691807542262,0.9175531914893617
